,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
1,100225863,URN:NBN:no-nb_digibok_2014091608148,Hovedfagsutstillingen 2003,"Hansen , Line / Svendsen , Anders / Fallgren , Carola / Vågnes , Øyvind",oai:nb.bibsys.no:990306585604702202,450b4b35f02065d47a575a7cf9a4a3ea,8280130284,,20030101,2003,Kunsthøgskolen i Bergen,mul / nob / eng / nob,Kunsthøyskoler,709.481,text / still image,Faglitteratur,digibok,nb,20060101
2,100599547,URN:NBN:no-nb_digibok_2022011107522,Vesaas : roman,"Vågnes , Øyvind",oai:nb.bibsys.no:999919890189102202,055e7c77b8a00aae00a6848476acb4d3,,Oslo,2017,2017,Tiden,nno,Kunstnermiljøer / Kunstnarmiljø / Forfattere / Forfattarar / norske romaner / 2010-tallet / Tarjei Vesaas,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101
3,100647505,URN:NBN:no-nb_pliktmonografi_000008930,Ei verd utan hestar : roman,"Vågnes , Øyvind / Vågnes , Øyvind",oai:nb.bibsys.no:999920317695202202,4b926ade22ae4c3e4d2363ef9f981cd1,,,2022,2022,Tiden norsk forlag,nno,"Hemmeligheter / Hemmelegheiter / Fedre og barn / Fedrar og barn / Den amerikanske borgerkrigen, 1861-1865 / Den amerikanske borgerkrigen, 1861-1865 / Framtidssamfunn / Framtidssamfunn / 1800-tallet / 1800-talet / 2000-2010 / 2000-2010",839.8238,novel / tekst,Skjønnlitteratur,digibok,,
4,100063241,URN:NBN:no-nb_digibok_2011101406083,Sekundet før : roman,"Vågnes , Øyvind",oai:nb.bibsys.no:991017103564702202,4c15bdc3cd0978986e21f165ed79dcb8,,Oslo,20100101,2010,Tiden,nno,norsk / litteratur,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
5,100195477,URN:NBN:no-nb_digibok_2009060204099,Ingen skal sove i natt : roman,"Vågnes , Øyvind",oai:nb.bibsys.no:990305784184702202,1eca03fe216cdfae0f28ec210bdfb97f,8210048600,Oslo,20030101,2003,Tiden,nno,skjønnlitteratur / oppvekst / norske / romaner / 2000-tallet / norsk / prosa / alkoholmisbruk / selvmord / foreldre / barn / sjølvmord,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
6,100371596,URN:NBN:no-nb_digibok_2018042048279,"Den dokumentariske teikneserien : teikneserien , animasjonsfilmen og det verkelege","Vågnes , Øyvind",oai:nb.bibsys.no:991426907084702202,961e6578283d5d94a4136344e6a026a3,,Oslo,20140101,2014,Universitetsforl.,nno,"Tegneserier / Faglitteratur / Tegneserier, dokumentariske / Animasjonsfilm / Dokumentarfilm / Tegneserier / Tegneserieromaner / Dokumentarlitteratur / dokumentarer / tegneserier / animasjonsfilm / dokumentarisme / teikneseriar / dokumentaranimasjon / dokumentartegneserier / dokumentarteikne / -seriar",741.5 / 741.5 / 741.5 / 741.5 / 741.5 / 741.5,,Uklassifisert,digibok,nb,20060101
7,100392482,URN:NBN:no-nb_digibok_2018110607018,Sone Z : roman,"Vågnes , Øyvind",oai:nb.bibsys.no:991427304404702202,2b036ca1605a706fb76f9a5b6c78f97c,,Oslo,20140101,2014,Tiden,nno,litteratur / roman / norsk,839.82 / 839.823 / 839.8238,novel,Skjønnlitteratur,digibok,nb,20060101
8,100417435,URN:NBN:no-nb_digibok_2020090207564,Den vesle blå haien,"Vågnes , Øyvind / Düzakin , Akin",oai:nb.bibsys.no:999919852700102202,ca83536749440b82f38f90b96205f6f3,,[Leikanger],20160101,2016,Skald,nno,billedbøker / bildebøker / biletbøker / haiar / haiar / annerledes / ensomhet / identitet,839.823,short story,Skjønnlitteratur,digibok,nb,20060101
9,100657783,URN:NBN:no-nb_digibok_2022082448111,"Gestures of seeing in film , video and drawing","Grønstad , Asbjørn / Gustafsson , Henrik / Vågnes , Øyvind",oai:nb.bibsys.no:999919867901202202,cd789262661390f9cdab7d94d16cf50a,,"New York, N.Y",2017,2017,Routledge,eng,Film / Visuell kultur / Gester / Moderne kunst / Videokunst / Gester / Kunstfilosofi / Visuell kommunikasjon / Visuell kultur,704.942,,Faglitteratur,digibok,,
10,100053267,URN:NBN:no-nb_digibok_2011082308150,Ekko : roman,"Vågnes , Øyvind",oai:nb.bibsys.no:990511213014702202,05598770d6da5d781e1956677f65ab2b,8210049283,[Oslo],20050101,2005,Tiden,mul / nno / eng,norske / romaner / 2000-tallet,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
11,100651143,URN:NBN:no-nb_pliktmonografi_000014154,More than the humanitarian gaze : Jørgen Grinde ' s photography from the Middle East in the 1950 s,"Berg , Kjersti Gravelsæter / Knarvik , Olaf / Vik , Synnøve Marie / Qato , Mezna / Heiselberg , Morten / Rahman , Sanabel Abel / Vågnes , Øyvind / Anani , Yazid",oai:nb.bibsys.no:999920371801902202,39bf0f91b9c1411b2a9d9c5a3f29c429,,"[Bergen], Norway",2023,2023,The University of Bergen Library,eng,,779.2092,tekst,Faglitteratur,digibok,,
12,100604168,URN:NBN:no-nb_digibok_2021072148061,Kennedy-bildet,"Vågnes , Øyvind",oai:nb.bibsys.no:991405042654702202,2ef50a07e8f2780da2078bc5318c365d,,Oslo,2013,2013,Flamme forl.,nno,,839.8238 / 839.82,short story,Skjønnlitteratur,digibok,nb,20060101